year,S_H,E_H,I_H,R_H,S_M,E_M,I_M
2017.4106776180697,2202.654125990011,1822.7224478481817,1281.0256490452425,3320.5076954080528,11616.374016827058,3363.737850755192,1636.4949078808702
2017.413415468857,2212.179283753157,1822.722461909916,1259.6752292817928,3332.760843346624,32683.847157805874,3027.3637478787687,1472.845262482834
2017.416153319644,2186.4025534220787,1842.561641675619,1254.1769429014153,3344.6245802923763,29415.47010630429,2921.943599436781,1325.5606766993342
2017.4188911704312,2195.9897822056078,1842.5639451256925,1233.2756772784085,3356.36421368178,26473.819481030445,2629.767970661846,1192.9999397884915
2017.4216290212185,2178.0051456650094,1855.9809261925775,1226.9121491505543,3367.723297283347,23826.431832414717,2496.4167751448813,1073.7021454596986
2017.4243668720055,2116.9258753519975,1862.9760526068555,1270.2022470108643,3378.9452433217702,21443.693333106483,2826.98300278811,1047.1229974868195
2017.4271047227926,2044.586571183293,1824.3794794389771,1369.6538016913587,3390.8574659778615,19299.175477758316,3198.384189214443,1054.0383936427804
2017.4298425735797,2010.104444021749,1786.7653591727947,1428.6407361542488,3404.394678942696,17369.214384478288,3131.8284883523424,971.6461721738505
2017.432580424367,1969.7396258715323,1726.9235688629562,1514.7941242866084,3418.875799270392,15631.793149753956,3154.0337535778963,919.2016035279139
2017.435318275154,1930.7342732769505,1662.8381521821575,1602.4362923473484,3434.7523004850323,14068.205117034588,3168.723812649035,880.684408911382
2017.438056125941,1886.1435576718488,1594.9757228261842,1698.020942203155,3452.048695590301,12661.318831782173,3078.121970766356,1034.7906836337856
2017.4407939767282,1823.7170856327666,1540.1289731155339,1796.8811847782943,3470.889574764894,11395.022912188968,3029.448644704749,1211.7428358432524
2017.4435318275155,1749.6713221341643,1507.1286483807285,1883.9193387831563,3491.3254089934403,10255.290615505584,3000.840872340255,1329.4893667524325
2017.4462696783025,1698.0185990273515,1495.6489985827152,1925.6471925878175,3513.1578280936055,9229.682982180866,2831.614844213012,1307.0246345305827
2017.4490075290896,1693.2407315802393,1493.9163155055703,1910.1169431139087,3535.6265280917705,8306.661449072082,2548.4381645729914,1176.3163052101245
2017.4517453798767,1682.211343080463,1490.9130290952558,1902.4254646007766,3557.778581514992,7475.010313605195,2293.2923894244177,1058.5455349618358
2017.454483230664,1656.7210548075377,1482.8121269394137,1914.4841058653467,3579.739030679188,6727.202538181093,2080.8719731684705,1000.8758190073296
2017.457221081451,1618.7320294210376,1471.3181074751847,1942.294710303166,3601.839371092097,6054.377686868291,1946.0697512423333,1009.336779674306
2017.4599589322381,1615.5997184860223,1469.282514767472,1925.387005368057,3624.3428796699336,8236.360729512939,1751.4625987318507,908.4036597533604
2017.4626967830254,1611.3926499092424,1466.4283568241412,1910.7160397767693,3646.502971781332,7412.728167489784,1576.3176409075788,817.5639220556172
2017.4654346338125,1575.9145737950155,1448.6713081802422,1942.5239705518638,3668.3580657643633,6671.389036147658,1633.371831212567,864.8623043176884
2017.4681724845996,1524.7725693659647,1416.1306173483983,2004.309769993078,3690.6828615840436,6004.201637599339,1728.8189635163637,949.368028648137
2017.4709103353866,1500.0649899886084,1396.1167630827144,2026.165827218845,3713.9761380013156,5403.760378435638,1634.1312663557708,901.8553272594374
2017.473648186174,1510.6681317847401,1396.116741902899,1992.3964551160902,3737.5702894877577,22328.455259897146,1470.718163003282,811.6698067523645
2017.476386036961,1521.3359503822603,1396.116741902899,1959.1898474975912,3760.5369785087373,20095.609941323364,1323.646345738132,730.502825544656
2017.479123887748,1532.0655319844996,1396.1167224255496,1926.5268216486415,3782.898342232797,18082.049369534718,1191.0189722236992,657.3071528721341
2017.4818617385351,1536.0663792790353,1391.3141232054616,1906.0117937118257,3804.6430220951675,16273.842920278666,1213.458523242137,591.5763849298547
2017.4845995893224,1530.106117017291,1377.6725345481782,1904.6983157569466,3825.986250969074,14646.43829035839,1528.1756357364463,557.3730041574041
2017.4873374401095,1519.383946291424,1359.9725028265284,1912.2855850029373,3847.2490841706017,13181.763307824365,1895.56198255094,552.4110914057648
2017.4900752908966,1501.28136859336,1340.8143793560334,1928.643174552192,3868.5800957899046,11863.573344791212,2347.0695897854353,576.1553198748519
2017.4928131416839,1489.8286740162068,1328.4568467533968,1931.3361317383174,3890.12526578357,10677.195492636318,2482.9778550781048,559.8288028385888
2017.495550992471,1484.4176257711676,1317.144936739839,1926.9559263546973,3911.656329425791,9609.43018478492,2432.54085909106,523.6428104746831
2017.498288843258,1495.5623642731011,1317.1449162322988,1894.8400422947143,3933.0553954913817,99900.15684218642,2189.2870518727946,471.27857812814864
2017.501026694045,1506.765758433587,1317.1449162322988,1863.2593742499307,3953.8605693756786,89910.15442656318,1970.3583160913217,424.1507137294495
2017.5037645448324,1518.0149619516612,1317.1449162322988,1832.101711467714,3974.196928639822,80723.00020117454,1769.0241456075014,380.81035709916773
2017.5065023956195,1529.3304291844747,1317.1449162322988,1801.5606849983442,3993.8503878763786,72640.08885016969,1591.8891864034883,342.67926248594966
2017.5092402464065,1540.689172222148,1317.1449155314483,1771.4286854344048,4013.051545103494,65207.77399483479,1429.0120988856124,307.6173626603572
2017.5119780971936,1545.3830254575087,1311.3695280385189,1754.40896890754,4031.5806958879284,58686.995084343784,2749.5057220286985,344.8320914715392
2017.514715947981,1542.7899544836512,1303.1028106632393,1747.501916995991,4049.7754361486145,52818.261759930225,4870.3213420870925,438.93299590732425
2017.517453798768,1537.9427371974357,1298.8658403108961,1738.9840425217787,4067.805398261385,47535.705113307245,6187.731518196499,491.32670192552865
2017.520191649555,1529.905981502004,1296.425816250683,1732.049930626707,4085.644189912103,42781.039786121844,7154.73071391816,585.4645916361533
2017.5229295003423,1531.7446093993021,1297.4091125810535,1711.9819288515885,4103.318167459551,38502.865172302154,6593.485530097639,702.2375169635735
2017.5256673511294,1526.6188857111124,1302.6317805442084,1695.02179424374,4120.6092577924355,34652.54986403068,5934.439076018981,1214.5412911861376
2017.5284052019165,1492.1509250819522,1332.0759204206631,1683.5124471784727,4137.57032561041,31187.242364941056,5513.548844840628,1936.7669385352256
2017.5311430527036,1449.841578765747,1374.757784837625,1666.8449588334179,4154.293195854713,28068.316616512722,4993.730975181871,2228.7526019543425
2017.5338809034909,1461.6480350132445,1374.7602472741753,1639.064760863698,4170.6923751403865,25261.431786027693,4494.352409338586,2005.9047386746627
2017.536618754278,1467.4433108892094,1379.788141748386,1612.7780042088852,4186.583861445027,22735.12572974517,4044.888198583778,1805.3013589593647
2017.539356605065,1411.8717819659237,1434.4372347328404,1598.7187003610895,4201.99350123165,20461.56114941266,3736.25964914384,2096.994325429115
2017.542094455852,1273.2888040242908,1554.1935195950798,1602.8399304463444,4217.126864225791,18415.10718400045,3709.8291327016827,2838.959265189407
2017.5448323066394,1145.9635159032728,1683.0565861210437,1607.9815017534656,4232.2870838780555,16573.544167138847,3579.4953209416126,3217.4510469412503
2017.5475701574264,1115.713061597243,1715.8630892908386,1590.6492152492212,4247.4914646880725,14916.17387474275,3221.547942415519,2895.71755581386
2017.5503080082135,1111.1719855372287,1727.408148616659,1569.1976038227974,4262.366992848691,13423.718682564479,2899.212204905653,2605.983163172102
2017.5530458590006,1107.203479568843,1735.3491742975568,1551.1769286799422,4276.843048279033,12081.167013762284,2609.252151663643,2345.3499416850796
2017.5557837097879,1093.191690598557,1737.574940679767,1549.254655193273,4290.9792443537735,10872.803334742126,2348.273863330107,2110.7684170524344
